,container,first_date,first_location,first_status,last_date,last_location,last_status
1371,HLBU2302703,2019-04-04 12:04:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
1372,UACU3835314,2019-04-02 12:31:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
1373,HLBU1180642,2019-04-10 12:56:00,CALLAO,Gate out empty,2019-04-29 10:00:00,GUAYAQUIL,Vessel arrival
1374,TGHU0661008,2019-04-10 09:30:00,CALLAO,Gate out empty,2019-04-30 14:00:00,"LOS ANGELES, CA",Vessel arrival
1375,UACU4104839,2019-04-09 09:15:00,CALLAO,Gate out empty,2019-04-27 08:00:00,SAN VICENTE,Vessel arrival
1376,TGBU5860926,2019-04-16 11:35:00,CALLAO,Gate out empty,2019-06-01 06:00:00,LA SPEZIA,Vessel arrival
1377,HLBU9220870,2019-04-17 20:31:00,CALLAO,Gate out empty,2019-05-16 05:00:00,LONDON GATEWAY PORT,Vessel arrival
1378,HLBU1605412,2019-04-17 21:22:00,CALLAO,Gate out empty,2019-05-06 19:00:00,MANZANILLO (PA),Vessel arrival
1379,HLXU8624582,2019-04-16 17:18:00,CALLAO,Gate out empty,2019-04-22 20:00:00,GUAYAQUIL,Vessel arrival
1380,TGBU2226672,2019-04-16 11:19:00,CALLAO,Gate out empty,2019-05-07 08:00:00,"LOS ANGELES, CA",Vessel arrival
1381,TGBU2556648,2019-04-16 17:48:00,CALLAO,Gate out empty,2019-06-05 23:00:00,QINGDAO,Vessel arrival
1382,UACU4047148,2019-04-15 17:34:00,CALLAO,Gate out empty,2019-04-25 15:00:00,SAN ANTONIO,Vessel arrival
1383,UACU4166738,2019-04-15 16:50:00,CALLAO,Gate out empty,2019-05-07 08:00:00,"LOS ANGELES, CA",Vessel arrival
1384,HLXU1144025,2019-04-10 11:28:00,CALLAO,Gate out empty,2019-05-15 22:00:00,LE HAVRE,Vessel arrival
1385,UACU3936135,2019-04-04 12:47:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
1386,UACU4760251,2019-04-16 21:05:00,CALLAO,Gate out empty,2019-05-16 05:00:00,LONDON GATEWAY PORT,Vessel arrival
1387,HLXU1398272,2019-04-15 18:31:00,CALLAO,Gate out empty,2019-05-21 00:00:00,VELTEN,Arrival in
1388,UACU3724265,2019-04-11 13:33:00,CALLAO,Gate out empty,2019-06-08 06:00:00,BUSAN,Vessel arrival
1389,UACU3941722,2019-04-04 13:02:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
1390,UACU3125987,2019-04-10 16:47:00,CALLAO,Gate out empty,2019-04-29 10:00:00,GUAYAQUIL,Vessel arrival
1391,UACU3528832,2019-04-18 12:44:00,CALLAO,Gate out empty,2019-06-11 00:00:00,HUANGPU,Discharge
1392,UACU3899197,2019-04-10 08:57:00,CALLAO,Gate out empty,2019-04-29 10:00:00,GUAYAQUIL,Vessel arrival
1393,HLBU1456704,2019-04-11 14:03:00,CALLAO,Gate out empty,2019-06-08 06:00:00,BUSAN,Vessel arrival
1394,TEMU7814323,2019-04-10 10:16:00,CALLAO,Gate out empty,2019-04-19 15:00:00,BUENAVENTURA,Vessel arrival
1395,TEMU7901990,2019-04-11 09:55:00,CALLAO,Gate out empty,2019-04-29 10:00:00,GUAYAQUIL,Vessel arrival
1396,UACU3503475,2019-04-17 09:42:00,CALLAO,Gate out empty,2019-06-15 06:00:00,BUSAN,Vessel arrival
1397,HAMU1091714,2019-04-08 15:45:00,CALLAO,Gate out empty,2019-04-22 07:30:00,"PORT EVERGLADES, FL",Vessel arrival
1398,HLBU1345871,2019-04-11 17:31:00,CALLAO,Gate out empty,2019-05-21 00:00:00,KOBE,Discharge
1399,UACU4014400,2019-04-16 18:48:00,CALLAO,Gate out empty,2019-05-28 00:00:00,KOBE,Discharge
1400,UACU3399838,2019-04-12 13:22:00,CALLAO,Gate out empty,2019-04-20 10:00:00,GUAYAQUIL,Vessel arrival
1401,HLBU2003240,2019-04-13 10:33:00,CALLAO,Gate out empty,2019-04-25 08:00:00,SAN ANTONIO,Vessel arrival
1402,HLXU8525949,2019-04-17 08:27:00,CALLAO,Gate out empty,2019-05-11 08:00:00,SAN LORENZO,Vessel arrival
1403,TGBU5857265,2019-04-15 17:53:00,CALLAO,Gate out empty,2019-04-24 22:00:00,VALPARAISO,Vessel arrival
1404,HLXU6485805,2019-04-08 17:45:00,CALLAO,Gate out empty,2019-05-24 00:00:00,HUANGPU,Discharge
1405,UACU5968363,2019-04-12 01:57:00,CALLAO,Gate out empty,2019-05-31 00:00:00,HUANGPU,Discharge
1406,CLHU3625400,2019-04-18 16:18:00,CALLAO,Gate out empty,2019-06-11 00:00:00,HUANGPU,Discharge
1407,HLBU1049503,2019-04-02 19:51:00,CALLAO,Gate out empty,2019-04-26 19:00:00,BARRANQUILLA,Vessel arrival
