,carrier,container,elapsed_days,first_date,first_latitude,first_location,first_longitude,first_status,first_status_code,first_vehicle,last_date,last_latitude,last_location,last_longitude,last_status,last_status_code,last_vehicle
1430,2,HLBU1073412,22.720833333333335,2019-03-14 18:19:00,10.9989088,BARRANQUILLA,-74.7987977,Gate out empty,1,2,2019-04-06 11:37:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1431,2,UACU5706023,100.79930555555555,2018-12-22 13:07:00,-33.8548157,"SYDNEY, NSW",151.2164539,Arrival in,2,2,2019-04-02 08:18:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1432,2,HLXU1322554,58.68472222222222,2019-02-15 18:51:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-15 11:17:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1433,2,TGHU1276599,58.08125,2019-02-16 08:28:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-15 10:25:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1434,2,UACU3269618,58.27777777777778,2019-02-16 08:28:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-15 15:08:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1435,2,UACU4036816,58.764583333333334,2019-02-15 18:15:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-15 12:36:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1436,2,CPSU5149474,32.209722222222226,2019-02-25 15:04:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 20:06:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1437,2,HLBU9085960,31.785416666666666,2019-02-25 15:03:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 09:54:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1438,2,HLXU8800378,31.948611111111113,2019-02-25 16:41:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 15:27:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1439,2,UAEU1237250,31.975,2019-02-25 15:56:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 15:20:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1440,2,HLXU8700933,50.665277777777774,2019-02-20 15:47:00,51.9228934,ROTTERDAM,4.4631786,Gate out empty,1,2,2019-04-12 07:45:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
