container,first_date,first_location,first_status,last_date,last_location,last_status
TGHU2832861,2018-10-19 17:33:00,CORINTO,Discharged,2018-10-26 10:17:00,CORINTO,Gate in empty
TGHU3196300,2018-10-19 20:05:00,CORINTO,Discharged,2018-11-12 10:18:00,CORINTO,Gate in empty
TGHU0440120,2018-10-19 21:30:00,CORINTO,Discharged,2018-11-11 22:48:00,CORINTO,Gate in empty
HLBU9074328,2018-10-29 14:22:00,"VERACRUZ, VER",Departure from,2018-10-31 17:00:00,"VERACRUZ, VER",Gate in empty
