container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
MRSU3680818,5,2019-03-01 10:07:00,"Tobishima Minami Terminal 93/94
Nagoya, Aichi, Japan",Gate out,2019-04-02 14:42:00,"APM Terminals in Callao Port
Callao, Peru",Gate out
MRKU3895285,9,2019-01-28 13:15:00,"Adani Hazira CFS
Hazira, GUJARAT, India",Gate out,2019-04-02 08:56:00,"APM Terminals in Callao Port
Callao, Peru",Gate out
