container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
MRKU3000543,1,45.69375,2019-02-02 22:30:00,Empty,1,"Dnyaneshwar Shipping Services
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-20 15:09:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
TGHU7050525,1,43.94166666666667,2019-02-04 16:11:00,Empty,1,"UNICORN MARINE SERVICES ANNEX YARD
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-20 14:47:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MRSU3180469,1,64.10763888888889,2019-01-15 10:29:00,Load,3,"Adani Hazira Port Pvt. Ltd
Hazira, GUJARAT, India",21.0956055,72.6466021,1,2019-03-20 13:04:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MSKU0491050,1,46.765277777777776,2019-02-02 13:00:00,Empty,1,"Mubarik Container Depot
Sialkot, Pakistan",32.4935378,74.5411575,2,2019-03-21 07:22:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MRSU3191355,1,40.84236111111111,2019-02-07 18:00:00,Empty,1,"ICD Talegaon
Talegaon, MAHARASHTRA, India",21.1044001,78.2030868,2,2019-03-20 14:13:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MRKU6158487,1,39.96111111111111,2019-02-08 15:15:00,Gate in,2,"Jawaharlal Nehru NSICT
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-20 14:19:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MSKU9315909,1,40.734027777777776,2019-02-08 16:30:00,Gate in,2,"Jawaharlal Nehru NSICT
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-21 10:07:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MRKU6109498,1,45.225,2019-02-05 03:30:00,Empty,1,"Dnyaneshwar Shipping Services
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-22 08:54:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MSKU0788618,1,39.97222222222222,2019-02-08 14:57:00,Gate in,2,"Jawaharlal Nehru NSICT
Jawaharlal Nehru, MAHARASHTRA, India",18.9470339,72.952661,2,2019-03-20 14:17:00,Gate out,8,"TCBUEN
Buenaventura, Valle Del Cauca, Colombia",3.6707494,-76.9807757700535,2
MSKU8267555,1,51.71805555555556,2019-02-18 13:30:00,Empty,1,"Smart International Logistics Co
Qingdao, Shandong, China",36.0895093,120.3497193,2,2019-04-11 06:44:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU7897101,1,51.640972222222224,2019-02-18 15:14:00,Empty,1,"Smart International Logistics Co
Qingdao, Shandong, China",36.0895093,120.3497193,2,2019-04-11 06:37:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU3930940,1,40.49722222222222,2019-02-20 23:14:00,Empty,1,"YANGSHAN, SGH GUANDONG TERMINAL
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 11:10:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
SCMU2079535,1,40.88611111111111,2019-02-20 09:13:00,Empty,1,"Smart International Logistics Co
Qingdao, Shandong, China",36.0895093,120.3497193,2,2019-04-02 06:29:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU2746020,1,41.80972222222222,2019-02-19 15:46:00,Empty,1,"Ningbo Hongda Cont Storage & Trans
Ningbo, Zhejiang, China",29.8622194,121.6203873,2,2019-04-02 11:12:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU8746978,1,41.022222222222226,2019-02-21 12:54:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 13:26:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU2834203,1,40.36736111111111,2019-02-21 13:01:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 21:50:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
PONU0492776,1,40.455555555555556,2019-02-21 10:51:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 21:47:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU7269870,1,40.00486111111111,2019-02-21 13:26:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 13:33:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU7595901,1,40.454861111111114,2019-02-21 10:51:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 21:46:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TGHU0847332,1,39.93611111111111,2019-02-21 11:19:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 09:47:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU5508915,1,40.885416666666664,2019-02-20 18:54:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 16:09:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
CLHU3618083,1,40.984722222222224,2019-02-21 13:01:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 12:39:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU6597392,1,40.545833333333334,2019-02-20 20:42:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 09:48:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRSU0093503,1,40.293055555555554,2019-02-21 17:30:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 00:32:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU8034232,1,40.015972222222224,2019-02-21 11:19:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 11:42:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU8908600,1,41.12152777777778,2019-02-20 18:54:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 21:49:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TGHU2788244,1,40.922222222222224,2019-02-20 17:57:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 16:05:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TEMU2113418,1,39.94236111111111,2019-02-21 10:52:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 09:29:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TGHU0031396,1,40.90902777777778,2019-02-20 18:12:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 16:01:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU8619783,1,41.049305555555556,2019-02-20 16:46:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 17:57:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU2778060,1,40.18194444444445,2019-02-21 17:29:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 21:51:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TGHU0814540,1,39.93472222222222,2019-02-21 14:48:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 13:14:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU6718154,1,40.1125,2019-02-21 13:26:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 16:08:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TEMU1364928,1,40.97638888888889,2019-02-20 16:46:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 16:12:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRSU0141026,1,39.82013888888889,2019-02-21 13:52:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 09:33:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU3111390,1,40.05486111111111,2019-02-21 14:48:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 16:07:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
PONU0881269,1,45.700694444444444,2019-02-16 16:58:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 09:47:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
PONU2045102,1,44.86666666666667,2019-02-16 18:54:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 15:42:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU7875564,1,44.18125,2019-02-17 11:33:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 15:54:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU7924669,1,44.87083333333333,2019-02-16 18:55:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 15:49:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
PONU2097786,1,44.18888888888889,2019-02-17 11:27:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 15:59:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU7731682,1,44.78333333333333,2019-02-16 16:53:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 11:41:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU5740509,1,45.696527777777774,2019-02-16 16:54:00,Empty,1,"Zhangjiagang SunWill Container Co.
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 09:37:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU7338274,1,43.15694444444444,2019-02-18 07:34:00,Empty,1,"Smart International Logistics Co
Qingdao, Shandong, China",36.0895093,120.3497193,2,2019-04-02 11:20:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU6205826,1,40.453472222222224,2019-02-20 19:08:00,Empty,1,"Yangshan, SGH Shengdong Terminal
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-02 06:01:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU3694683,1,39.790277777777774,2019-02-21 15:25:00,Gate in,2,"DUSS Kornwestheim
Kornwestheim, Baden-Wurttemberg, Germany",48.8611498,9.1873875,2,2019-04-02 10:23:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU1026826,1,36.60347222222222,2019-02-25 15:39:00,Empty,1,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",35.444991,139.636768,2,2019-04-03 06:08:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU6240452,1,35.61944444444445,2019-02-26 15:00:00,Empty,1,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",35.444991,139.636768,2,2019-04-03 05:52:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
SCMU4004509,1,34.824305555555554,2019-02-27 13:28:00,Empty,1,"Maersk Yokohama Terminal
Yokohama, Kanagawa, Japan",35.444991,139.636768,2,2019-04-03 09:15:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU3434534,1,46.51111111111111,2019-02-14 21:00:00,Empty,1,"Wuhan Yangluo New Terminal
Wuhan, Hubei, China",30.5951051,114.2999353,2,2019-04-02 09:16:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU7085127,1,47.02430555555556,2019-02-14 07:29:00,Empty,1,"Wuhan Yangluo New Terminal
Wuhan, Hubei, China",30.5951051,114.2999353,2,2019-04-02 08:04:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU1590627,1,40.17777777777778,2019-02-22 02:15:00,Empty,1,"Donghwa Depot No 10
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-03 06:31:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU8093670,1,39.89375,2019-02-22 08:16:00,Empty,1,"Donghwa Depot No 10
Shanghai, Shanghai, China",31.2253441,121.4888922,2,2019-04-03 05:43:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU9480842,1,54.235416666666666,2019-02-07 15:08:00,Empty,1,"Borusan Depot - Gemlik
Gemlik, Turkey",40.44584945,29.1799867634759,2,2019-04-02 20:47:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU5099798,1,41.53611111111111,2019-02-19 15:35:00,Empty,1,"Smart International Logistics Co
Qingdao, Shandong, China",36.0895093,120.3497193,2,2019-04-02 04:27:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MAEU4060704,1,40.856944444444444,2019-02-21 09:36:00,Empty,1,"La Spezia Contrepair
La Spezia, La Spezia, Italy",44.107033,9.8282255,2,2019-04-03 06:10:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MAEU3405150,1,41.03611111111111,2019-02-21 07:55:00,Empty,1,"La Spezia Contrepair
La Spezia, La Spezia, Italy",44.107033,9.8282255,2,2019-04-03 08:47:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MAEU4102815,1,41.916666666666664,2019-02-21 07:51:00,Empty,1,"La Spezia Contrepair
La Spezia, La Spezia, Italy",44.107033,9.8282255,2,2019-04-04 05:51:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TEMU1517190,1,42.7375,2019-02-18 17:21:00,Empty,1,"Martainer
Barcelona, Spain",41.3828939,2.1774322,2,2019-04-02 11:03:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU5453284,1,42.06111111111111,2019-02-19 17:18:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 18:46:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU4085819,1,42.83263888888889,2019-02-19 12:35:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 08:34:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU7537227,1,41.88333333333333,2019-02-19 12:26:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 09:38:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU8708237,1,42.19166666666667,2019-02-19 17:12:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 21:48:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU4248650,1,41.954861111111114,2019-02-19 14:11:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 13:06:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU5103141,1,41.80763888888889,2019-02-19 14:11:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 09:34:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
