container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
HLBU9075052,2,13.908333333333333,2019-03-20 17:43:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-03 15:31:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
UACU4762927,2,14.89375,2019-03-20 16:07:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-04 13:34:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLXU3449390,2,35.47013888888889,2019-02-26 13:20:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-03 00:37:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLBU1777725,2,33.37361111111111,2019-02-27 17:22:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-02 02:20:00,Discharged,7,GUAYAQUIL,-2.1898771,-79.8877153,1
HLBU1613784,2,51.071527777777774,2019-02-25 13:05:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-17 14:48:00,Gate in empty,0,ARICA,-18.478518,-70.3210596,2
UASU1055270,2,44.34027777777778,2019-02-26 11:35:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-11 19:45:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
UACU8142101,2,5.514583333333333,2019-04-11 13:40:00,Gate out empty,1,QUITO,-0.2201641,-78.5123274,2,2019-04-17 02:01:00,Discharged,7,CALLAO,-12.066667,-77.15,1
HLBU9004043,2,12.1625,2019-03-21 19:24:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-02 23:18:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLBU9032195,2,12.9,2019-03-21 03:00:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-03 00:36:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLBU9063832,2,11.993055555555555,2019-03-21 23:24:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-02 23:14:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
