container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
HLBU1478473,13,2019-02-20 18:33:00,"ALTAMIRA, TAM",Gate in empty,2019-04-09 17:19:00,VALPARAISO,Gate in empty
UACU5267363,13,2019-02-21 19:51:00,"ALTAMIRA, TAM",Gate in empty,2019-04-09 12:36:00,VALPARAISO,Gate in empty
UACU5605985,13,2019-02-21 12:15:00,"ALTAMIRA, TAM",Gate in empty,2019-04-09 15:54:00,VALPARAISO,Gate in empty
UACU5775488,13,2019-02-21 12:15:00,"ALTAMIRA, TAM",Gate in empty,2019-04-10 12:27:00,VALPARAISO,Gate in empty
HLBU1364573,14,2019-02-23 08:01:00,ASUNCION,Departure from,2019-04-21 11:18:00,GUAYAQUIL,Departure from
HLBU1730456,14,2019-02-23 08:02:00,ASUNCION,Departure from,2019-04-21 10:29:00,GUAYAQUIL,Departure from
HLBU1176977,7,2019-03-01 14:00:00,UTTOXETER,Departure from,2019-04-12 21:53:00,VALPARAISO,Departure from
