container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
HLXU5186651,5,2019-03-18 10:27:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8149195,5,2019-03-18 11:15:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8151720,5,2019-03-18 15:14:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8163341,5,2019-03-19 17:48:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8453910,5,2019-03-18 13:27:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8490874,5,2019-03-18 16:04:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8499125,5,2019-03-16 12:46:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8601638,5,2019-03-18 13:24:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLXU8764291,7,2019-03-23 11:28:00,SAN ANTONIO,Gate out empty,2019-05-05 13:00:00,HELSINKI,Vessel arrival
HLBU1141559,5,2019-03-25 20:24:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU9256549,5,2019-03-25 12:54:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLXU5204863,7,2019-03-23 12:08:00,VALPARAISO,Gate out empty,2019-05-08 07:00:00,RAUMA,Vessel arrival
UACU8342440,5,2019-03-11 13:01:00,VALPARAISO,Gate out empty,2019-04-27 12:00:00,HAMBURG,Vessel arrival
UACU4750320,5,2019-03-25 16:13:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLXU3488246,5,2019-03-16 10:35:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
TGBU5866061,10,2019-03-20 14:41:00,VALPARAISO,Gate out empty,2019-05-04 08:00:00,"VANCOUVER, BC",Vessel arrival
HLBU1882459,11,2019-03-26 09:01:00,VALPARAISO,Gate out empty,2019-04-22 00:00:00,TEGUCIGALPA,Arrival in
HLBU1198765,9,2019-03-14 17:13:00,SANTIAGO DE CHILE,Gate out empty,2019-04-21 13:00:00,"HOUSTON, TX",Vessel arrival
HLXU6407567,9,2019-03-16 11:42:00,SANTIAGO DE CHILE,Gate out empty,2019-04-21 13:00:00,"HOUSTON, TX",Vessel arrival
HLXU8470511,9,2019-03-16 12:09:00,SANTIAGO DE CHILE,Gate out empty,2019-04-21 13:00:00,"HOUSTON, TX",Vessel arrival
HLXU8545061,9,2019-03-15 08:58:00,SANTIAGO DE CHILE,Gate out empty,2019-04-21 13:00:00,"HOUSTON, TX",Vessel arrival
TGHU8400607,9,2019-03-16 12:37:00,SANTIAGO DE CHILE,Gate out empty,2019-04-21 13:00:00,"HOUSTON, TX",Vessel arrival
