container,date,status,location
EGHU3559865,2019-03-27 00:00:00,Loaded (FCL) on vessel,BUENAVENTURA (CO)
TEMU0769480,2019-03-27 00:00:00,Loaded (FCL) on vessel,BUENAVENTURA (CO)
EMCU3955161,2019-04-10 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
TEMU7142595,2019-04-13 00:00:00,Empty container returned,GUAYAQUIL (EC)
TGHU6281258,2019-04-04 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
EGHU3016620,2019-03-15 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU3127692,2019-03-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU3398586,2019-03-18 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU3658050,2019-03-21 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGSU3061705,2019-03-11 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU3967901,2019-03-09 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU6027388,2019-03-14 00:00:00,Empty container returned,BUENAVENTURA (CO)
TEMU3875491,2019-03-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
TEMU3950717,2019-03-21 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU9238590,2019-03-16 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU9322417,2019-03-20 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGSU9022389,2019-03-19 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGSU9033824,2019-03-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGSU9071803,2019-03-11 00:00:00,Empty container returned,BUENAVENTURA (CO)
EISU9337585,2019-03-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU9746908,2019-03-14 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU9797886,2019-03-13 00:00:00,Empty container returned,BUENAVENTURA (CO)
HMCU9139450,2019-03-11 00:00:00,Empty container returned,BUENAVENTURA (CO)
TEMU6047058,2019-03-22 00:00:00,Empty container returned,BUENAVENTURA (CO)
TEMU6059362,2019-02-28 00:00:00,Empty container returned,BUENAVENTURA (CO)
TEMU8947845,2019-02-26 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU6290160,2019-03-19 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU6536167,2019-03-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU6608170,2019-03-19 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU6881944,2019-03-13 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU6940203,2019-03-16 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU6953474,2019-03-09 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU7025747,2019-03-19 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGHU6826255,2019-03-19 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGHU8684376,2019-03-22 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGSU1002869,2019-03-13 00:00:00,Empty container returned,BUENAVENTURA (CO)
EISU1631079,2019-03-19 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU1398940,2019-03-20 00:00:00,Empty container returned,BUENAVENTURA (CO)
HMCU1037010,2019-03-20 00:00:00,Empty container returned,BUENAVENTURA (CO)
HMCU1083798,2019-03-13 00:00:00,Empty container returned,BUENAVENTURA (CO)
IMTU1088970,2019-03-20 00:00:00,Empty container returned,BUENAVENTURA (CO)
IMTU1097864,2019-03-09 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU9325186,2019-03-08 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU9396847,2019-03-09 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU9397519,2019-03-08 00:00:00,Empty container returned,BUENAVENTURA (CO)
EISU9268627,2019-03-22 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU9573612,2019-03-14 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU9786496,2019-03-21 00:00:00,Empty container returned,BUENAVENTURA (CO)
GATU8732352,2019-03-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
HMCU9003778,2019-03-15 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGHU6657957,2019-03-11 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU5011844,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5274439,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5277150,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5290609,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5311234,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5321762,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5339144,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EISU9205547,2019-04-08 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EGSU9196523,2019-04-10 00:00:00,Empty container returned,CALLAO (PE)
TGBU6605437,2019-04-12 00:00:00,Empty container returned,CALLAO (PE)
EMCU1450041,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
TEMU8932059,2019-04-13 00:00:00,Empty container returned,GUAYAQUIL (EC)
EISU5688180,2019-04-05 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5283472,2019-04-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU5306412,2019-04-11 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU5239757,2019-04-11 00:00:00,Empty container returned,BUENAVENTURA (CO)
EGHU5014313,2019-04-11 00:00:00,Empty container returned,BUENAVENTURA (CO)
EISU5690064,2019-04-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU5302130,2019-04-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU5353604,2019-04-10 00:00:00,Empty container returned,BUENAVENTURA (CO)
EMCU5405420,2019-04-12 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU6743858,2019-04-15 00:00:00,Empty container returned,BUENAVENTURA (CO)
TGBU6262615,2019-04-11 00:00:00,Full import container received at inland depot,COLON CONTAINER TERMINAL (PA)
HMCU9164345,2019-04-02 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
TGBU6923309,2019-04-06 00:00:00,Empty container returned,GUAYAQUIL (EC)
CLHU8992286,2019-04-02 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
TGBU6261809,2019-04-01 00:00:00,Full import container received at inland depot,CALLAO (PE)
TGBU7149460,2019-04-01 00:00:00,Full import container received at inland depot,CALLAO (PE)
EISU5703310,2019-04-09 00:00:00,Empty container returned,CALLAO (PE)
TGBU6954444,2019-04-08 00:00:00,Empty container returned,CALLAO (PE)
HMCU1032867,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
EISU1733553,2019-04-04 00:00:00,Empty container returned,CALLAO (PE)
EGSU1011351,2019-04-04 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EGHU1016494,2019-04-04 00:00:00,Empty container returned,CALLAO (PE)
IMTU1028478,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
EMCU1317403,2019-04-04 00:00:00,Empty container returned,CALLAO (PE)
EISU1735617,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
EISU1816597,2019-04-04 00:00:00,Empty container returned,CALLAO (PE)
HMCU1058202,2019-04-04 00:00:00,Empty container returned,CALLAO (PE)
EGSU3065146,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
EGSU3117487,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
EISU2187821,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
EISU2248995,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
EISU3910880,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
EMCU3577360,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
EMCU3629714,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
IMTU3051944,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
TEMU0533638,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
TEMU3851205,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
TEMU6066253,2019-04-16 00:00:00,Empty container returned,CALLAO (PE)
EISU9327102,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
EMCU9751925,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
EISU1850117,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
EGHU9152835,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU9176647,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU9193177,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU9268018,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU9382000,2019-04-05 00:00:00,Empty container returned,LIRQUEN (CL)
EISU9198319,2019-04-05 00:00:00,Empty container returned,LIRQUEN (CL)
TGBU7021021,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
TGHU9403302,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
EISU9455443,2019-04-11 00:00:00,Empty container returned,LIRQUEN (CL)
EMCU9620289,2019-04-05 00:00:00,Empty container returned,LIRQUEN (CL)
HMCU9002792,2019-04-05 00:00:00,Empty container returned,LIRQUEN (CL)
HMCU9054625,2019-04-06 00:00:00,Empty container returned,LIRQUEN (CL)
HMCU9124321,2019-04-05 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU3261607,2019-04-05 00:00:00,Discharged (FCL),ARICA (CL)
EMCU3945965,2019-04-05 00:00:00,Discharged (FCL),ARICA (CL)
TEMU0628081,2019-04-05 00:00:00,Discharged (FCL),ARICA (CL)
EGSU9027890,2019-04-04 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EGHU9373646,2019-04-03 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
HMCU1054038,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
LTIU6037480,2019-04-05 00:00:00,Empty container returned,CALLAO (PE)
EGHU1036850,2019-04-08 00:00:00,Empty container returned,CALLAO (PE)
EGHU1058904,2019-04-11 00:00:00,Empty container returned,CALLAO (PE)
EMCU1411554,2019-04-10 00:00:00,Empty container returned,CALLAO (PE)
IMTU1025340,2019-04-08 00:00:00,Empty container returned,CALLAO (PE)
LTIU6029633,2019-04-11 00:00:00,Empty container returned,CALLAO (PE)
LTIU6053877,2019-04-10 00:00:00,Empty container returned,CALLAO (PE)
XINU4028861,2019-04-10 00:00:00,Empty container returned,CALLAO (PE)
EISU9292222,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
TGBU6769981,2019-03-30 00:00:00,Discharged (FCL),CALLAO (PE)
EGHU1005669,2019-04-03 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EMCU1344585,2019-04-03 00:00:00,Empty container returned,CALLAO (PE)
HMCU1075278,2019-04-03 00:00:00,Empty container returned,CALLAO (PE)
EGSU3131607,2019-03-31 00:00:00,Full import container received at inland depot,CALLAO (PE)
AMFU8656909,2019-04-13 00:00:00,Empty container returned,CALLAO (PE)
TEMU7334685,2019-04-02 00:00:00,Empty container returned,CALLAO (PE)
EGHU1016025,2019-04-04 00:00:00,Empty container returned,CALLAO (PE)
EGHU1026511,2019-04-03 00:00:00,Empty container returned,CALLAO (PE)
IMTU1079032,2019-04-04 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
IMTU9081479,2019-04-01 00:00:00,Full import container received at inland depot,CALLAO (PE)
EISU9449482,2019-04-01 00:00:00,Full import container received at inland depot,CALLAO (PE)
EMCU1414189,2019-04-01 00:00:00,Full import container received at inland depot,CALLAO (PE)
XINU1104680,2019-04-05 00:00:00,Empty container returned to carrier assigned depot.,CALLAO (PE)
EISU9107319,2019-04-12 00:00:00,Empty container returned,SAN ANTONIO (CL)
EGHU3601899,2019-04-09 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EGHU3581128,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
IMTU9087163,2019-04-12 00:00:00,Empty container returned,SAN ANTONIO (CL)
EGSU9034190,2019-04-12 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
HMCU9098304,2019-04-12 00:00:00,Empty container returned,SAN ANTONIO (CL)
EISU9330847,2019-04-09 00:00:00,Empty container returned,SANTIAGO (CL)
TGHU9028367,2019-04-09 00:00:00,Empty container returned,SANTIAGO (CL)
EGHU3255780,2019-04-10 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
HMCU3006105,2019-04-12 00:00:00,Empty container returned,SAN ANTONIO (CL)
EMCU9791933,2019-04-12 00:00:00,Empty container returned,SANTIAGO (CL)
EISU2190363,2019-04-12 00:00:00,Empty container returned,SAN ANTONIO (CL)
LTIU3036325,2019-04-11 00:00:00,Empty container returned,SAN ANTONIO (CL)
TEMU6474770,2019-04-12 00:00:00,Empty container returned,SAN ANTONIO (CL)
EMCU6053432,2019-04-09 00:00:00,Empty container returned under damaged condition,SAN ANTONIO (CL)
EISU2151372,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
EMCU3921691,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
IMTU3089153,2019-04-09 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU3199537,2019-04-08 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU3203025,2019-04-08 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU3339536,2019-04-08 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU3377351,2019-04-08 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU3481849,2019-04-08 00:00:00,Empty container returned,LIRQUEN (CL)
EGHU3647992,2019-04-10 00:00:00,Empty container returned,SAN ANTONIO (CL)
EGSU3121018,2019-04-10 00:00:00,Empty container returned,SAN ANTONIO (CL)
EMCU3929985,2019-04-10 00:00:00,Empty container returned,SAN ANTONIO (CL)
TGHU3418157,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
GATU8810938,2019-04-06 00:00:00,Empty container returned,GUAYAQUIL (EC)
HMCU1078132,2019-04-13 00:00:00,Empty container returned,GUAYAQUIL (EC)
TEMU6370630,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
HMCU1034448,2019-04-13 00:00:00,Empty container returned,GUAYAQUIL (EC)
TEMU6272660,2019-04-15 00:00:00,Discharged (FCL),CALLAO (PE)
HMCU1047825,2019-04-13 00:00:00,Empty container returned,GUAYAQUIL (EC)
IMTU1024045,2019-04-20 00:00:00,Empty container returned,GUAYAQUIL (EC)
EGHU3023893,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
TEMU6060050,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
EGHU3008292,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
EGSU3133003,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
EGHU3213743,2019-04-04 00:00:00,Empty container returned,GUAYAQUIL (EC)
EISU9001097,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
TEMU6634060,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
EGHU3342761,2019-04-12 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EGSU3029088,2019-04-12 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EISU1728346,2019-04-13 00:00:00,Empty container returned,GUAYAQUIL (EC)
EGHU3492289,2019-04-10 00:00:00,Empty container returned,GUAYAQUIL (EC)
EGSU9119527,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
EGHU3607109,2019-04-08 00:00:00,Empty container returned,GUAYAQUIL (EC)
EISU2016074,2019-04-12 00:00:00,Empty container returned,GUAYAQUIL (EC)
HMCU3052775,2019-04-02 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
TGBU6611213,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
EGSU9050164,2019-04-03 00:00:00,Discharged (FCL),GUAYAQUIL (EC)
EGHU5008497,2019-04-09 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EISU1771337,2019-04-13 00:00:00,Empty container returned,GUAYAQUIL (EC)
EISU1700061,2019-04-04 00:00:00,Empty container returned under damaged condition,CALLAO (PE)
EMCU5318666,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5323913,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5336680,2019-04-04 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5341706,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5351860,2019-04-04 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5354386,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5395847,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5407336,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
TEMU9104125,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5299592,2019-04-04 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5308903,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EISU5694711,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EISU5706659,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5269685,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5271548,2019-04-08 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5278727,2019-04-06 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EMCU5295832,2019-04-09 00:00:00,Empty container returned under damaged condition,GUAYAQUIL (EC)
EISU1767044,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EMCU1376849,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
IMTU1019645,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
IMTU1020116,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
IMTU1055370,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EGHU9080801,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
